question_id,question,option1,option2,option3,option4,correct_answer
201,"SCENARIO: Your team is working on a critical project with a tight deadline. Two days before the delivery, you discover a significant bug that could take 8-10 hours to fix properly. A quick workaround exists but may cause issues later. Your manager is unaware of this problem.

QUESTION: What is the BEST course of action?",Implement the quick workaround and deliver on time without mentioning the issue,Immediately inform your manager about the bug and recommend extending the deadline,Fix the bug overnight without telling anyone to avoid blame,Document the workaround and plan to fix it in the next sprint,2
202,"SCENARIO: During a team meeting, your colleague presents an idea that you recognize as very similar to a solution you shared informally with them last week. They don't acknowledge your contribution, and your manager seems impressed.

QUESTION: How should you handle this situation?",Interrupt immediately and publicly call out that it was your idea,Wait until after the meeting and privately discuss this with your colleague,Send an email to your manager afterward claiming credit for the idea,Let it go to maintain team harmony and avoid confrontation,2
203,"SCENARIO: You're assigned to work with a remote team member who consistently misses deadlines and doesn't respond to messages promptly. This is affecting your own deliverables and causing frustration.

QUESTION: What is the MOST professional approach?",Complain about them to your manager and request a different team member,Schedule a one-on-one video call to understand their challenges and discuss expectations,Start documenting every instance to build a case against them,Work around them and complete their tasks yourself to meet deadlines,2
204,"SCENARIO: During code review, a senior developer harshly criticizes your work in front of the entire team, using phrases like 'amateur mistake' and 'waste of time.' You believe some criticism is valid but the delivery was unprofessional.

QUESTION: What should you do FIRST?",Defend your approach and point out the senior developer's past mistakes,Thank them for the feedback and request a private follow-up discussion to learn more,Report them to HR immediately for creating a hostile work environment,Ignore the criticism and avoid interacting with them in the future,2
205,"SCENARIO: You discover that a legacy system you maintain has a security vulnerability that could expose customer data. Fixing it properly would require significant refactoring (3-4 weeks). No breach has occurred yet, and management is focused on new features.

QUESTION: What is your PRIMARY responsibility?",Continue with assigned feature work since no breach has occurred,Immediately escalate the security issue to management with a detailed risk assessment,Fix the vulnerability in your spare time without disrupting the schedule,Wait for the security team to discover it during their next audit,2
206,"SCENARIO: Your company is downsizing and you learn through unofficial channels that your department will have layoffs next month. A close colleague just bought a house and asks you if you've heard anything about job security.

QUESTION: How should you respond?",Share what you heard so they can prepare financially,Deny knowing anything to avoid spreading rumors,Acknowledge you've heard rumors but suggest they speak with management directly,Tell them everything will be fine to ease their worries,3
207,"SCENARIO: You're in an interview loop for a candidate. The candidate's technical skills are excellent, but during lunch, they made several inappropriate jokes and comments that made you uncomfortable. Other interviewers seemed to overlook this.

QUESTION: What should you include in your feedback?",Give a strong technical hire recommendation and don't mention the behavioral concerns,Provide detailed feedback on both technical skills AND the concerning behavioral observations,Give a rejection recommendation based solely on the behavioral issues,Give a neutral score to avoid getting involved in non-technical matters,2
208,"SCENARIO: Your manager asks you to inflate time estimates for a client project because 'they can afford it' and it will give the team more breathing room. You know the work can be done in the timeframe you originally estimated.

QUESTION: What is the most ethical response?",Inflate the estimates as requested since your manager knows the business better,Refuse directly and report your manager to upper management,Discuss your concerns privately with your manager and advocate for honest estimates,Provide the inflated estimates but secretly finish early to look good,3
209,"SCENARIO: You're leading a project when a team member reveals they need to take immediate family leave for two weeks due to a medical emergency. This will significantly impact your timeline, and your manager is already concerned about delays.

QUESTION: What is the BEST leadership approach?",Ask them to work remotely during their leave to minimize impact,Express support for their leave and work with the team to redistribute tasks and adjust timeline,Suggest they use vacation days instead of family leave to maintain flexibility,Report the situation to your manager and let them handle the staffing issue,2
210,"SCENARIO: During a product demo to stakeholders, you notice that a feature is incorrectly displaying inflated metrics that make the results look much better than reality. The client seems very impressed and ready to sign a major contract.

QUESTION: What should you do IMMEDIATELY?",Point out the error during the demo to correct the misleading information,Stay quiet during the demo and report the issue to your team afterward,Wait until after the meeting to privately inform your manager,Document the error but let the sales team handle client communication,1
211,"SCENARIO: You join a new team and discover they have no code reviews, minimal testing, and frequently deploy directly to production on Fridays. When you suggest improvements, the team says 'this is how we've always done it' and they meet their deadlines.

QUESTION: What is the most effective approach to drive change?",Organize a team meeting to formally present all the problems with their current process,Start implementing better practices in your own work and demonstrate the value through results,Go directly to management to report the risky development practices,Follow their existing process since you're new and don't want to cause friction,2
212,"SCENARIO: A client requests a feature that you know would create technical debt and maintainability issues. Your sales team has already promised it to close the deal, and your manager is pressuring you to give a timeline.

QUESTION: What is the BEST technical leadership response?",Refuse to implement it and tell your manager to renegotiate with the client,Provide a timeline with caveats about technical debt and propose a better alternative approach,Give them the timeline they want to keep everyone happy,Agree to do it but document everything to protect yourself later,2
